[WARNING] (MainThread) __init__ 3150, Zoe is flying.
[WARNING] (MainThread) __init__ 345, SRD:, 1
[CRITICAL] (MainThread) __init__ 438, IMU core temp (boot): ,16.231534
[WARNING] (MainThread) fly 3391, fp_filename = fp.csv, calibrate_0g = 0, check / calibrate compass = False, yaw_control = False, file_control = True, gps_control = False, add_waypoint = False, clear_waypoints = False, hover_pwm = 1300, vdp_gain = 1.000000, vdi_gain = 0.000000, vdd_gain= 0.000000, vvp_gain = 400.000000, vvi_gain = 200.000000, vvd_gain= 0.000000, hdp_gain = 1.000000, hdi_gain = 0.000000, hdd_gain = 0.000000, hvp_gain = 1.500000, hvi_gain = 0.000000, hvd_gain = 0.000000, prp_gain = 80.000000, pri_gain = 0.000000, prd_gain = 0.000000, rrp_gain = 80.000000, rri_gain = 0.000000, rrd_gain = 0.000000, yrp_gain = 160.000000, yri_gain = 0.000000, yrd_gain = 0.000000, test_case = 0, atau = 7.500000, diagnostics = True
[WARNING] (MainThread) load0gCalibration 951, 0g Offsets:, 0.000000, 0.000000, 0.000000
[CRITICAL] (MainThread) fly 3795, IMU core temp (start): ,16.180615
[WARNING] (MainThread) fly 3848, pitch, -4.454660, roll, -1.893736
[WARNING] (MainThread) fly 3849, egx, 0.000041, egy, 0.000096, egz 0.961993
[WARNING] (MainThread) fly 3850, based upon 22 samples
[WARNING] (MainThread) fly 3851, EFTOH:, 0.000000
[WARNING] (MainThread) fly 3948, time, dt, loops, temperature, edx_fuse, edy_fuse, edz_fuse, evx_fuse, evy_fuse, evz_fuse, edx_target, edy_target, edz_target, evx_target, evy_target, evz_target, qrx, qry, qrz, qax, qay, qaz, qgx, qgy, qgz, pitch, roll, yaw, yaw2, qdx_input, qdy_input, qdz_input, qdx_target, qdy_target, qdz_target, qvx_input, qvy_input, qvz_input, qvx_target, qvy_target, qvz_target, YOLO, pa_input, ra_input, ya_input, pa_target, ra_target, ya_target, pr_input, rr_input, yr_input, pr_target, rr_target, yr_target, pr_out, rr_out, yr_out, qdx_input, qdx_target, qvx_input, qvx_target, pa_input, pa_target, pr_input, pr_target, pr_out, qdy_input, qdy_target, qvy_input, qvy_target, ra_input, ra_target, rr_input, rr_target, rr_out, qdz_input, qdz_target, qvz_input, qvz_target, qaz_out, ya_input, ya_target, yr_input, yr_target, yr_out, FL PWM, FR PWM, BL PWM, BR PWM
[WARNING] (MainThread) fly 4679, 0.019000, 0.019000, 19, 16.210567, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.002591, -0.020967, -0.017670, 0.035837, -0.021549, 0.967041, 0.075051, -0.031594, 0.958540, -4.472154, -1.893555, -0.018527, 0.000000, -0.000139, 0.000036, 0.000030, 0.000000, 0.000000, 0.000000, -0.007307, 0.001872, 0.001584, 0.000139, -0.000036, -0.000030, YOLO,-4.473952, -1.894990, -0.019235, 0.639864, 0.163917, 0.000000, -1.201338, -0.148445, -1.012391, 8.947904, 3.789980, 0.115413, 405.969674, 157.536982, 90.224326, -0.000139, 0.000000, -0.007307, 0.000139, -4.473952, 0.639864, -1.201338, 8.947904, 7, 0.000036, 0.000000, 0.001872, -0.000036, -1.894990, 0.163917, -0.148445, 3.789980, 2, 0.000030, 0.000000, 0.001584, -0.000030, 0, -0.019235, 0.000000, -1.012391, 0.115413, 1, 1434, 1292, 1451, 1463
[WARNING] (MainThread) fly 4679, 0.030000, 0.011000, 30, 16.198586, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.081099, 0.010078, 0.028538, 0.021817, -0.017600, 0.919833, 0.074859, -0.032452, 0.958526, -4.460662, -1.944813, -0.000706, 0.000000, -0.000282, 0.000074, 0.000002, 0.000000, 0.000000, 0.000000, -0.013028, 0.003474, -0.002590, 0.000282, -0.000074, -0.000002, YOLO,-4.463048, -1.944858, -0.001249, 1.143808, 0.304889, 0.000000, 0.577406, -4.646648, 1.635118, 8.926095, 3.889717, 0.007495, 333.947554, 341.454590, -130.209850, -0.000282, 0.000000, -0.013028, 0.000282, -4.463048, 1.143808, 0.577406, 8.926095, 5, 0.000074, 0.000000, 0.003474, -0.000074, -1.944858, 0.304889, -4.646648, 3.889717, 5, 0.000002, 0.000000, -0.002590, -0.000002, 1, -0.001249, 0.000000, 1.635118, 0.007495, -2, 1442, 1286, 1450, 1462
[WARNING] (MainThread) fly 4679, 0.037000, 0.007000, 37, 16.228539, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.019144, -0.037110, -0.019101, -0.012416, 0.017090, 0.883754, 0.075030, -0.032523, 0.958511, -4.470873, -1.949080, -0.007879, 0.000000, -0.000415, 0.000122, -0.000052, 0.000000, 0.000000, 0.000000, -0.019031, 0.006880, -0.007722, 0.000415, -0.000122, 0.000052, YOLO,-4.473005, -1.949683, -0.008910, 1.670846, 0.601711, 0.000000, -2.126273, -1.096899, -1.094422, 9.662387, 5.332119, 2.202590, 471.546398, 257.160698, 263.760908, -0.000415, 0.000000, -0.019031, 0.000415, -4.473005, 1.670846, -2.126273, 9.662387, 8, 0.000122, 0.000000, 0.006880, -0.000122, -1.949683, 0.601711, -1.096899, 5.332119, 4, -0.000052, 0.000000, -0.007722, 0.000052, 3, -0.008910, 0.000000, -1.094422, 2.202590, 4, 1432, 1292, 1457, 1459
[WARNING] (MainThread) fly 4679, 0.042000, 0.005000, 42, 16.225544, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.126637, 0.021251, 0.029909, 0.049121, -0.058936, 0.996338, 0.074905, -0.031944, 0.958540, -4.463400, -1.914435, 0.000503, 0.000000, -0.000517, 0.000150, -0.000082, 0.000000, 0.000000, 0.000000, -0.020296, 0.005556, -0.005868, 0.000517, -0.000150, 0.000082, YOLO,-4.465822, -1.914385, -0.000342, 1.788116, 0.490362, 0.000000, 1.217582, 7.255762, 1.713631, 9.648020, 5.261522, 2.151181, 337.217536, -79.769608, 35.003941, -0.000517, 0.000000, -0.020296, 0.000517, -4.465822, 1.788116, 1.217582, 9.648020, 5, 0.000150, 0.000000, 0.005556, -0.000150, -1.914385, 0.490362, 7.255762, 5.261522, -1, -0.000082, 0.000000, -0.005868, 0.000082, 2, -0.000342, 0.000000, 1.713631, 2.151181, 0, 1432, 1296, 1445, 1467
[WARNING] (MainThread) fly 4679, 0.047000, 0.005000, 47, 16.213563, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.025989, -0.024476, 0.003224, 0.078027, 0.015186, 1.079150, 0.075018, -0.032039, 0.958528, -4.470154, -1.920153, 0.001663, 0.000000, -0.000618, 0.000189, -0.000082, 0.000000, 0.000000, 0.000000, -0.020148, 0.007872, 0.000046, 0.000618, -0.000189, 0.000082, YOLO,-4.472609, -1.920012, 0.000582, 1.784097, 0.692732, 0.000000, -1.402352, -1.489050, 0.184701, 9.661594, 5.272778, 2.145640, 442.557863, 270.473095, 156.875112, -0.000618, 0.000000, -0.020148, 0.000618, -4.472609, 1.784097, -1.402352, 9.661594, 7, 0.000189, 0.000000, 0.007872, -0.000189, -1.920012, 0.692732, -1.489050, 5.272778, 4, -0.000082, 0.000000, 0.000046, 0.000082, 0, 0.000582, 0.000000, 0.184701, 2.145640, 2, 1434, 1290, 1455, 1460
[WARNING] (MainThread) fly 4679, 0.052000, 0.005000, 52, 16.198586, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.043193, 0.006231, 0.047459, 0.064160, -0.029199, 0.822412, 0.074980, -0.032265, 0.958523, -4.467908, -1.933651, 0.015233, 0.000000, -0.000721, 0.000229, -0.000115, 0.000000, 0.000000, 0.000000, -0.020679, 0.008022, -0.006628, 0.000721, -0.000229, 0.000115, YOLO,-4.470818, -1.932454, 0.014177, 1.838526, 0.709096, 0.000000, 0.356986, -2.474768, 2.719186, 9.658011, 5.297660, 2.064064, 372.041003, 310.897096, -52.409722, -0.000721, 0.000000, -0.020679, 0.000721, -4.470818, 1.838526, 0.356986, 9.658011, 6, 0.000229, 0.000000, 0.008022, -0.000229, -1.932454, 0.709096, -2.474768, 5.297660, 5, -0.000115, 0.000000, -0.006628, 0.000115, 2, 0.014177, 0.000000, 2.719186, 2.064064, 0, 1440, 1287, 1451, 1462
[WARNING] (MainThread) fly 4679, 0.058000, 0.006000, 58, 16.207572, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.027955, 0.023981, 0.115014, 0.149536, 0.002279, 1.030151, 0.074871, -0.032450, 0.958525, -4.461373, -1.944670, 0.054591, 0.000000, -0.000819, 0.000290, -0.000129, 0.000000, 0.000000, 0.000000, -0.016285, 0.010065, -0.002413, 0.000819, -0.000290, 0.000129, YOLO,-4.465609, -1.940410, 0.053716, 1.469658, 0.889869, 0.000000, 1.373985, -1.601710, 6.589832, 9.647594, 5.313573, 1.826830, 330.944357, 276.611338, -381.040130, -0.000819, 0.000000, -0.016285, 0.000819, -4.465609, 1.469658, 1.373985, 9.647594, 5, 0.000290, 0.000000, 0.010065, -0.000290, -1.940410, 0.889869, -1.601710, 5.313573, 4, -0.000129, 0.000000, -0.002413, 0.000129, 1, 0.053716, 0.000000, 6.589832, 1.826830, -6, 1446, 1283, 1444, 1468
[WARNING] (MainThread) fly 4679, 0.063000, 0.005000, 63, 16.216558, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.038772, 0.043302, 0.110949, 0.047461, -0.004541, 0.873096, 0.074631, -0.032659, 0.958537, -4.447006, -1.957117, 0.086032, 0.000000, -0.000907, 0.000347, -0.000162, 0.000000, 0.000000, 0.000000, -0.017618, 0.011444, -0.006603, 0.000907, -0.000347, 0.000162, YOLO,-4.452310, -1.950416, 0.085501, 1.591638, 1.013242, 0.000000, 2.481010, -2.221472, 6.356881, 9.620996, 5.333584, 1.636124, 285.599437, 302.202244, -377.660577, -0.000907, 0.000000, -0.017618, 0.000907, -4.452310, 1.591638, 2.481010, 9.620996, 4, 0.000347, 0.000000, 0.011444, -0.000347, -1.950416, 1.013242, -2.221472, 5.333584, 5, -0.000162, 0.000000, -0.006603, 0.000162, 2, 0.085501, 0.000000, 6.356881, 1.636124, -6, 1447, 1283, 1444, 1466
[WARNING] (MainThread) fly 4679, 0.069000, 0.006000, 69, 16.225544, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.012265, 0.003874, 0.083300, -0.062419, -0.068604, 0.998006, 0.074485, -0.032793, 0.958544, -4.438290, -1.965129, 0.114692, 0.000000, -0.001061, 0.000403, -0.000188, 0.000000, 0.000000, 0.000000, -0.025673, 0.009337, -0.004281, 0.001061, -0.000403, 0.000188, YOLO,-4.444559, -1.956213, 0.114137, 2.296365, 0.837012, 0.000000, 0.221946, -0.702713, 4.772764, 9.605495, 5.345179, 1.464304, 375.341956, 241.915694, -264.676809, -0.001061, 0.000000, -0.025673, 0.001061, -4.444559, 2.296365, 0.221946, 9.605495, 6, 0.000403, 0.000000, 0.009337, -0.000403, -1.956213, 0.837012, -0.702713, 5.345179, 4, -0.000188, 0.000000, -0.004281, 0.000188, 1, 0.114137, 0.000000, 4.772764, 1.464304, -4, 1442, 1285, 1446, 1467
[WARNING] (MainThread) fly 4679, 0.074000, 0.005000, 74, 16.201582, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.018346, -0.024129, 0.035954, 0.076123, 0.022803, 0.782178, 0.074607, -0.032854, 0.958532, -4.445586, -1.968777, 0.125255, 0.000000, -0.001189, 0.000463, -0.000253, 0.000000, 0.000000, 0.000000, -0.025599, 0.012066, -0.012928, 0.001189, -0.000463, 0.000253, YOLO,-4.452209, -1.959049, 0.124438, 2.300969, 1.076671, 0.000000, -1.382516, -1.051122, 2.060006, 9.620795, 5.350852, 1.402504, 440.132439, 256.078962, -52.600152, -0.001189, 0.000000, -0.025599, 0.001189, -4.452209, 2.300969, -1.382516, 9.620795, 7, 0.000463, 0.000000, 0.012066, -0.000463, -1.959049, 1.076671, -1.051122, 5.350852, 4, -0.000253, 0.000000, -0.012928, 0.000253, 5, 0.124438, 0.000000, 2.060006, 1.402504, 0, 1438, 1287, 1451, 1464
